Product Id, Product Name, Country, Network Name, Supplier Acc Id, Supplier Acc Name, MCC, MNC, Priority, Routing Criteria, Connectivity, Cost (USD), Prod Price (USD),
"PRD""01""3",Mx-Preferred-Enterprise,ZAMBIA,AIRTEL NETWORKS ZAMBIA,35319-1,INFOBIP-MT-SMPP-DIRECT,645,1,5,MANUAL,SMPP,0.0638,0.0151,
"PRD""01""6",Mx-Preferred,ZAMBIA,AIRTEL NETWORKS ZAMBIA,30040-6,BEEPSEND-MT-SMPP-DIRECT,645,1,6,MANUAL,SMPP,0.0601,0.0604,
"PRD""01""3",Mx-Preferred-Enterprise,ZAMBIA,AIRTEL NETWORKS ZAMBIA,30040-6,BEEPSEND-MT-SMPP-DIRECT,645,1,4,MANUAL,SMPP,0.0601,0.0151,
PRD013,Mx-Preferred-Enterprise,ZAMBIA,MTN ZAMBIA,24338-2,TYNTEC-MT-SMPP-DIRECT,645,2,4,MANUAL,SMPP,0.0554,0.0151,
PRD013,Mx-Preferred-Enterprise,ZAMBIA,CELLZ,24338-2,TYNTEC-MT-SMPP-DIRECT,645,3,6,MANUAL,SMPP,0.0554,0.0151,
PRD032,Mx-Google,ZAMBIA,AIRTEL NETWORKS ZAMBIA,18210-2,AIRTEL-MT-SMPP,645,1,1,MANUAL,SMPP,0.0552,0.02,-0.0352
"PRD""01""6",Mx-Preferred,ZAMBIA,AIRTEL NETWORKS ZAMBIA,18210-2,AIRTEL-MT-SMPP,645,1,1,MANUAL,SMPP,0.0552,0.0604,0.0052
"PRD""01""3",Mx-Preferred-Enterprise,ZAMBIA,AIRTEL NETWORKS ZAMBIA,18210-2,AIRTEL-MT-SMPP,645,1,3,MANUAL,SMPP,0.0552,0.0151,
PRD003,MxStandard,ZAMBIA,AIRTEL NETWORKS ZAMBIA,30537-1,IDM-MT-SMPP,645,1,10,RATE,SMPP,0.0552,0.0045,
PRD032,Mx-Google,VIETNAM,GTEL MOBILE,"35""07""6-1",TELINTEL-MT-SMPP-GOLD,452,7,2,MANUAL,SMPP,0.015,0.027,
PRD032,Mx-Google,VIETNAM,GTEL MOBILE,31944-1,SILVER-MT-SMPP,452,7,1,MANUAL,SMPP,0.0227,0.027,0.0043
PRD032,Mx-Google,VIETNAM,VIETNAMOBILE,35076-1,TELINTEL-MT-SMPP-GOLD,452,5,2,MANUAL,SMPP,0.015,0.027,
PRD032,Mx-Google,VIETNAM,VIETNAMOBILE,31944-1,SILVER-MT-SMPP,452,5,1,MANUAL,SMPP,0.0215,0.027,0.0055
PRD032,Mx-Google,VIETNAM,VIETNAMOBILE,10245-1,HGC-HK-MT-SMPP,452,5,3,MANUAL,SMPP,0.0354,0.027,
PRD032,Mx-Google,VIETNAM,VIETTEL TELECOM COMPANY,35127-2,VIETTEL-MT-SMPP,452,4,1,MANUAL,SMPP,0.023,0.027,0.004
PRD032,Mx-Google,VIETNAM,VIETTEL TELECOM COMPANY,35076-1,TELINTEL-MT-SMPP-GOLD,452,4,2,MANUAL,SMPP,0.015,0.027,
PRD032,Mx-Google,VIETNAM,VIETTEL TELECOM COMPANY,31944-1,SILVER-MT-SMPP,452,4,3,MANUAL,SMPP,0.0227,0.027,
PRD032,Mx-Google,VIETNAM,VIETNAM MOBILE TELECOM SERVICES,36666-1,MOBIFONE-VN-MT-SS7,452,1,1,MANUAL,SS7,0.022,0.023,0.001
PRD032,Mx-Google,VIETNAM,VIETNAM MOBILE TELECOM SERVICES,35076-1,TELINTEL-MT-SMPP-GOLD,452,1,3,MANUAL,SMPP,0.015,0.023,
PRD032,Mx-Google,VIETNAM,VIETNAM MOBILE TELECOM SERVICES,31944-1,SILVER-MT-SMPP,452,1,2,MANUAL,SMPP,0.0215,0.023,
PRD032,Mx-Google,VIETNAM,VINAPHONE,37193-1,WAVECELL-MT-SMPP-HQ,452,2,4,MANUAL,SMPP,0.0224,0.027,
PRD032,Mx-Google,VIETNAM,VINAPHONE,35076-1,TELINTEL-MT-SMPP-GOLD,452,2,3,MANUAL,SMPP,0.015,0.027,
PRD032,Mx-Google,VIETNAM,VINAPHONE,31944-1,SILVER-MT-SMPP,452,2,1,MANUAL,SMPP,0.0227,0.027,0.0043
PRD032,Mx-Google,VIETNAM,VINAPHONE,27039-3,JERSEY-MT-SMPP-PERDELIVERED,452,2,2,MANUAL,SMPP,0.0233,0.027,
PRD032,Mx-Google,VENEZUELA,MOVILNET,36901-1,APHEX-MT-SMPP,734,6,1,MANUAL,SMPP,0.0025,0.008,0.0055
PRD032,Mx-Google,VENEZUELA,MOVILNET,36196-1,MSGBRD-MT-SMPP-DIRECT,734,6,3,MANUAL,SMPP,0.0061,0.008,
PRD032,Mx-Google,VENEZUELA,MOVILNET,35076-1,TELINTEL-MT-SMPP-GOLD,734,6,4,MANUAL,SMPP,0.0042,0.008,
PRD032,Mx-Google,VENEZUELA,MOVILNET,30234-2,CLX-MT-SMPP-GW6,734,6,2,MANUAL,SMPP,0.0037,0.008,
PRD032,Mx-Google,VENEZUELA,MOVILNET,30234-1,CLX-MT-SMPP,734,6,5,MANUAL,SMPP,0.0037,0.008,
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,36901-1,APHEX-MT-SMPP,734,4,1,MANUAL,SMPP,0.014,1,0.986
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,36196-1,MSGBRD-MT-SMPP-DIRECT,734,4,4,MANUAL,SMPP,0.0258,1,
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,35076-1,TELINTEL-MT-SMPP-GOLD,734,4,6,MANUAL,SMPP,0.0054,1,
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,31790-1,HORISEN-MT-SMPP-DIRECT,734,4,3,MANUAL,SMPP,0.0233,1,
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,30234-1,CLX-MT-SMPP,734,4,7,MANUAL,SMPP,0.0319,1,
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,"29""04""2-2",TIWS-MT-SMPP,734,4,5,MANUAL,SMPP,0.0239,1,
PRD032,Mx-Google,VENEZUELA,TELEFONICA MOVILES VENEZUELA,19880-1,CASCABLE-MT-SMPP,734,4,2,MANUAL,SMPP,0.0225,1,
PRD032,Mx-Google,VENEZUELA,CORPORACION DIGITEL,36901-1,APHEX-MT-SMPP,734,"01, 02, 03",2,MANUAL,SMPP,0.0353,0.008,
PRD032,Mx-Google,VENEZUELA,CORPORACION DIGITEL,36196-1,MSGBRD-MT-SMPP-DIRECT,734,"01, 02, 03",3,MANUAL,SMPP,0.0086,0.008,
PRD032,Mx-Google,VENEZUELA,CORPORACION DIGITEL,35076-1,TELINTEL-MT-SMPP-GOLD,734,"01, 02, 03",1,MANUAL,SMPP,0.008,0.008,0
PRD032,Mx-Google,VENEZUELA,CORPORACION DIGITEL,30234-1,CLX-MT-SMPP,734,"01, 02, 03",4,MANUAL,SMPP,0.0393,0.008,
PRD032,Mx-Google,VANUATU,DIGICEL VANUATU,36892-1,DIGICELPC-MT-SMPP,541,"00, 05",1,MANUAL,SMPP,0.02,0.02,0
PRD032,Mx-Google,VANUATU,DIGICEL VANUATU,35076-1,TELINTEL-MT-SMPP-GOLD,541,"00, 05",2,MANUAL,SMPP,0.0095,0.02,
PRD032,Mx-Google,VANUATU,DIGICEL VANUATU,30234-1,CLX-MT-SMPP,541,"00, 05",3,MANUAL,SMPP,0.0282,0.02,
PRD032,Mx-Google,VANUATU,TELECOM VANUATU,35076-1,TELINTEL-MT-SMPP-GOLD,541,1,1,MANUAL,SMPP,0.0055,0.02,0.0145
PRD032,Mx-Google,VANUATU,TELECOM VANUATU,30234-1,CLX-MT-SMPP,541,1,2,MANUAL,SMPP,0.0552,0.02,
PRD032,Mx-Google,UZBEKISTAN,UNITEL UZBEKISTAN,35209-1,GMSU-MT-SMPP-A2P,434,4,2,MANUAL,SMPP,0.0475,0.0998,
PRD032,Mx-Google,UZBEKISTAN,UNITEL UZBEKISTAN,31944-1,SILVER-MT-SMPP,434,4,1,MANUAL,SMPP,0.0405,0.0998,0.0593
PRD032,Mx-Google,UZBEKISTAN,COSCOM,35209-1,GMSU-MT-SMPP-A2P,434,5,2,MANUAL,SMPP,0.0923,0.0998,
PRD032,Mx-Google,UZBEKISTAN,COSCOM,31944-1,SILVER-MT-SMPP,434,5,3,MANUAL,SMPP,0.0945,0.0998,
PRD032,Mx-Google,UZBEKISTAN,COSCOM,24338-2,TYNTEC-MT-SMPP-DIRECT,434,5,1,MANUAL,SMPP,0.0954,0.0998,0.0044
PRD032,Mx-Google,URUGUAY,TELEFONICA MOVILES MOVISTAR URUGUAY,35319-1,INFOBIP-MT-SMPP-DIRECT,748,7,2,MANUAL,SMPP,0.0429,0.09,
PRD032,Mx-Google,URUGUAY,TELEFONICA MOVILES MOVISTAR URUGUAY,"35""07""6-1",TELINTEL-MT-SMPP-GOLD,748,7,3,MANUAL,SMPP,0.012,0.09,
PRD032,Mx-Google,URUGUAY,TELEFONICA MOVILES MOVISTAR URUGUAY,30234-1,CLX-MT-SMPP,748,7,4,MANUAL,SMPP,0.0429,0.09,
PRD032,Mx-Google,URUGUAY,TELEFONICA MOVILES MOVISTAR URUGUAY,29042-2,TIWS-MT-SMPP,748,7,1,MANUAL,SMPP,0.0307,0.09,0.0593
PRD032,Mx-Google,URUGUAY,CTI URUGUAY AM WIRELESS,35319-1,INFOBIP-MT-SMPP-DIRECT,748,10,3,MANUAL,SMPP,0.0368,0.09,
PRD032,Mx-Google,URUGUAY,CTI URUGUAY AM WIRELESS,35076-1,TELINTEL-MT-SMPP-GOLD,748,10,2,MANUAL,SMPP,0.028,0.09,
PRD032,Mx-Google,URUGUAY,CTI URUGUAY AM WIRELESS,30234-1,CLX-MT-SMPP,748,10,1,MANUAL,SMPP,0.0331,0.09,0.0569
PRD032,Mx-Google,URUGUAY,ANTEL,35319-1,INFOBIP-MT-SMPP-DIRECT,748,"00, 01, 03",2,MANUAL,SMPP,0.0724,0.09,
PRD032,Mx-Google,URUGUAY,ANTEL,35076-1,TELINTEL-MT-SMPP-GOLD,748,"00, 01, 03",3,MANUAL,SMPP,0.012,0.09,
PRD032,Mx-Google,URUGUAY,ANTEL,30234-1,CLX-MT-SMPP,748,"00, 01, 03",1,MANUAL,SMPP,0.0145,0.09,0.0755
PRD032,Mx-Google,UNITED STATES,"AT&T WIRELESS ""310""3805",36810-1,IMPACTGLOBAL-MT-SMPP,310,961,1,MANUAL,SMPP,0.0035,1,0.9965
PRD032,Mx-Google,UNITED STATES,"AT&T WIRELESS ""310""3805",36157-1,BUC-MT-SMPP,310,961,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,"AT&T WIRELESS ""310""3805",20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,961,2,MANUAL,SMPP,0.0032,1,
PRD032,Mx-Google,UNITED STATES,SAGEBRUSH CELLULAR,36810-1,IMPACTGLOBAL-MT-SMPP,312,480,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,SAGEBRUSH CELLULAR,36157-1,BUC-MT-SMPP,312,480,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,SAGEBRUSH CELLULAR,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,312,480,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,NEW DIMENSION WIRELESS USA,36810-1,IMPACTGLOBAL-MT-SMPP,311,"380, 680",2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,NEW DIMENSION WIRELESS USA,36157-1,BUC-MT-SMPP,311,"380, 680",3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,NEW DIMENSION WIRELESS USA,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,"380, 680",1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,TELNA MOBILE USA,36810-1,IMPACTGLOBAL-MT-SMPP,310,840,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,TELNA MOBILE USA,36157-1,BUC-MT-SMPP,310,840,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,TELNA MOBILE USA,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,840,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,US FIXED LINE DESTINATION,36810-1,IMPACTGLOBAL-MT-SMPP,310,963,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,US FIXED LINE DESTINATION,36157-1,BUC-MT-SMPP,310,963,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,US FIXED LINE DESTINATION,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,963,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,TMP CORPORATION DBA SIMMETRY,36810-1,IMPACTGLOBAL-MT-SMPP,310,951,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,TMP CORPORATION DBA SIMMETRY,36157-1,BUC-MT-SMPP,310,951,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,TMP CORPORATION DBA SIMMETRY,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,951,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,EAST KENTUCKY NETWORK,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,980,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,PEERLESS NETWORK,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,993,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,XO COMMUNICATIONS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,995,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,COMCAST,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,991,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,CHARTER COMMUNICATIONS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,992,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,CABLEVISION LIGHTPATH,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,994,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,TERRA NOVA TELECOM,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,977,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,NETCARRIER TELECOM,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,976,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,BROADVOX,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,975,1,RATE,SMPP,0.0032,--,#VALUE!
PRD032,Mx-Google,UNITED STATES,WINDSTREAM COMMUNICATIONS,36810-1,IMPACTGLOBAL-MT-SMPP,310,973,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,WINDSTREAM COMMUNICATIONS,36157-1,BUC-MT-SMPP,310,973,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,WINDSTREAM COMMUNICATIONS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,973,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,FRONTIER COMMUNICATIONS CORPORATION,36810-1,IMPACTGLOBAL-MT-SMPP,310,969,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,FRONTIER COMMUNICATIONS CORPORATION,36157-1,BUC-MT-SMPP,310,969,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,FRONTIER COMMUNICATIONS CORPORATION,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,969,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,INTELIQUENT,36810-1,IMPACTGLOBAL-MT-SMPP,310,958,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,INTELIQUENT,36157-1,BUC-MT-SMPP,310,958,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,INTELIQUENT,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,958,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,CENTURYLINK,36810-1,IMPACTGLOBAL-MT-SMPP,310,957,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,CENTURYLINK,36157-1,BUC-MT-SMPP,310,957,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,CENTURYLINK,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,957,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,EARTHLINK BUSINESS,36810-1,IMPACTGLOBAL-MT-SMPP,310,956,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,EARTHLINK BUSINESS,36157-1,BUC-MT-SMPP,310,956,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,EARTHLINK BUSINESS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,956,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,IMPACT TELECOM,36810-1,IMPACTGLOBAL-MT-SMPP,310,955,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,IMPACT TELECOM,36157-1,BUC-MT-SMPP,310,955,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,IMPACT TELECOM,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,955,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,ONVOY,36810-1,IMPACTGLOBAL-MT-SMPP,310,954,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,ONVOY,36157-1,BUC-MT-SMPP,310,954,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,ONVOY,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,954,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,WIDE VOICE,36810-1,IMPACTGLOBAL-MT-SMPP,310,953,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,WIDE VOICE,36157-1,BUC-MT-SMPP,310,953,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,WIDE VOICE,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,953,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,BOOST MOBILE,36810-1,IMPACTGLOBAL-MT-SMPP,310,952,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,BOOST MOBILE,36157-1,BUC-MT-SMPP,310,952,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,BOOST MOBILE,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,952,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,US-DEFAULT,36810-1,IMPACTGLOBAL-MT-SMPP,310,989,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,US-DEFAULT,36157-1,BUC-MT-SMPP,310,989,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,US-DEFAULT,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,989,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,ALASKA WIRELESS,36810-1,IMPACTGLOBAL-MT-SMPP,310,190,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,ALASKA WIRELESS,36157-1,BUC-MT-SMPP,310,190,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,ALASKA WIRELESS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,190,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,WESTLINK COMMUNICATIONS,36810-1,IMPACTGLOBAL-MT-SMPP,310,340,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,WESTLINK COMMUNICATIONS,36157-1,BUC-MT-SMPP,310,340,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,WESTLINK COMMUNICATIONS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,340,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,EPIC TOUCH,36810-1,IMPACTGLOBAL-MT-SMPP,310,610,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,EPIC TOUCH,36157-1,BUC-MT-SMPP,310,610,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,EPIC TOUCH,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,610,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,GLOBECOMM NETWORK,36810-1,IMPACTGLOBAL-MT-SMPP,311,890,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,GLOBECOMM NETWORK,36157-1,BUC-MT-SMPP,311,890,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,GLOBECOMM NETWORK,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,890,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,ASPENTA,36810-1,IMPACTGLOBAL-MT-SMPP,312,210,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,ASPENTA,36157-1,BUC-MT-SMPP,312,210,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,ASPENTA,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,312,210,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,PINE TELEPHONE,36810-1,IMPACTGLOBAL-MT-SMPP,311,80,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,PINE TELEPHONE,36157-1,BUC-MT-SMPP,311,80,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,PINE TELEPHONE,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,80,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,CELLULAR ONE OF EAST CENTRAL ILLINOIS,36810-1,IMPACTGLOBAL-MT-SMPP,311,190,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,CELLULAR ONE OF EAST CENTRAL ILLINOIS,36157-1,BUC-MT-SMPP,311,190,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,CELLULAR ONE OF EAST CENTRAL ILLINOIS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,311,190,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,ADVANTAGE CELLULAR SYSTEMS,36810-1,IMPACTGLOBAL-MT-SMPP,310,880,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,ADVANTAGE CELLULAR SYSTEMS,36157-1,BUC-MT-SMPP,310,880,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,ADVANTAGE CELLULAR SYSTEMS,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,310,880,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,VANU COVERAGE,36810-1,IMPACTGLOBAL-MT-SMPP,312,60,2,MANUAL,SMPP,0.0035,1,
PRD032,Mx-Google,UNITED STATES,VANU COVERAGE,36157-1,BUC-MT-SMPP,312,60,3,MANUAL,SMPP,0.002,1,
PRD032,Mx-Google,UNITED STATES,VANU COVERAGE,20788-2,SMARTCOMTECH-MT-SMPP-WHOLESALE,312,60,1,MANUAL,SMPP,0.0032,1,0.9968
PRD032,Mx-Google,UNITED STATES,ASTAC,36810-1,IMPACTGLOBAL-MT-SMPP,"310, 311","560, 710",2,MANUAL,SMPP,0.0035,1,
